Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4
31.073490142822266,164,35,17,20
31.224123239517212,37,35,17,16
31.375015258789062,26,35,17,16
31.52597713470459,32,35,17,18
31.676850080490112,25,35,25,28
31.82784605026245,20,35,18,19
31.978771209716797,53,36,21,25
32.12975311279297,28,35,18,16
32.280659198760986,48,35,18,19
32.431297063827515,47,35,18,22
32.58256411552429,33,35,18,16
32.73363924026489,171,35,17,15
32.88439702987671,119,35,19,21
33.03542113304138,28,35,19,16
33.18633413314819,23,35,17,22
33.33736324310303,48,35,18,18
33.48818516731262,38,35,19,16
33.63928508758545,20,35,17,21
33.79009509086609,21,36,24,17
33.94103717803955,20,35,18,21
34.09208917617798,28,35,18,22
34.243526220321655,47,35,19,19
34.39373207092285,38,35,19,19
34.544764280319214,28,35,17,17
34.69575500488281,66,35,19,21
34.84665513038635,70,35,45,19
34.99770998954773,39,35,23,26
35.14860415458679,26,35,20,18
35.299402952194214,20,34,25,18
35.45055103302002,19,35,20,20
35.60121703147888,19,35,22,18
35.75230097770691,21,35,22,24
35.903356075286865,23,35,43,18
36.05447220802307,58,35,167,149
36.205485105514526,696,35,181,88
36.35671806335449,385,489,196,81
36.507816314697266,138,267,154,86
36.65859293937683,98,109,127,54
36.80930709838867,140,120,58,29
36.960604190826416,124,242,35,30
37.1122260093689,112,391,63,52
37.26280903816223,81,154,121,59
37.413409948349,100,38,172,91
37.56454801559448,101,35,161,101
37.71575903892517,84,35,129,78
37.86665320396423,81,35,80,39
38.01787996292114,227,35,36,35
38.16859412193298,26,35,43,25
38.319530963897705,17,35,20,26
38.47040104866028,18,35,40,31
38.62130928039551,18,35,23,29
38.77246832847595,17,35,21,18
38.92341327667236,17,35,18,17
39.07432413101196,17,35,17,26
39.22535014152527,17,35,20,21
39.37617206573486,17,35,18,22
39.52724289894104,18,35,19,18
39.677868127822876,17,35,23,25
39.82887506484985,18,35,20,18
39.97996425628662,17,34,284,27
40.13111710548401,17,36,241,32
40.281960248947144,17,35,23,23
40.432953119277954,17,35,696,23
40.583739042282104,19,35,697,34
40.734963178634644,66,35,253,18
40.88584327697754,62,35,96,16
41.036582231521606,56,35,89,17
41.187806129455566,38,35,82,28
41.338696241378784,23,35,61,20
41.4895920753479,60,35,56,18
41.64064311981201,80,34,44,22
41.791359186172485,65,35,31,19
41.94254207611084,22,35,27,17
42.09338712692261,17,35,26,19
42.244269132614136,17,35,28,35
42.395273208618164,17,35,25,16
42.546205282211304,17,35,24,17
42.69712209701538,17,35,18,19
42.848148345947266,17,34,17,20
42.9989550113678,18,35,44,22
43.1499240398407,17,35,61,14
43.301074266433716,17,35,65,26
43.45186924934387,17,35,29,62
43.602739095687866,17,34,30,20
43.75385117530823,17,35,61,313
43.9046471118927,17,35,28,29
44.055583238601685,17,35,19,20
44.20688199996948,17,35,18,23
44.357527017593384,17,35,17,16
44.50811314582825,18,35,17,16
44.65914011001587,17,35,18,18
44.81022524833679,17,35,20,14
44.96114706993103,17,34,55,50
45.11208534240723,18,35,132,97
45.263453245162964,17,34,213,102
45.41416692733765,17,34,214,98
45.56539011001587,18,35,227,131
45.71628522872925,18,35,155,94
45.86754822731018,18,35,208,103
46.018455028533936,17,34,166,75
46.16949915885925,18,35,121,58
46.32013201713562,17,34,150,65
46.47133111953735,17,34,108,70
46.62241506576538,17,35,110,69
46.77331519126892,48,35,148,69
46.92387127876282,42,36,113,47
47.07511115074158,35,34,141,44
47.22618103027344,48,33,79,31
47.377259969711304,33,36,53,35
47.528367042541504,47,35,48,28
47.67880916595459,18,35,57,17
47.829994201660156,18,35,18,14
47.980995178222656,17,34,74,58
48.13178515434265,18,35,101,59
